PDF_File,Page,Line,Matched_Text
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,20,17,Coordinate (UTM WGS84)
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,22,10,"Provincia Oristano Foglio 529, Sezione III - Villaurbana Foglio 217, Sezione IV - Oristano"
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,22,15,Coordinate (UTM WGS84)
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,24,10,"Provincia Oristano Foglio 529, Sezione III - Villaurbana Foglio 217, Sezione IV - Oristano"
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,24,15,Coordinate (UTM WGS84)
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,26,10,"Provincia Oristano Foglio 529, Sezione III - Villaurbana Foglio 217, Sezione IV - Oristano"
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,26,15,Coordinate (UTM WGS84)
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,28,10,"Provincia Oristano Foglio 529, Sezione III - Villaurbana Foglio 217, Sezione IV - Oristano"
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,28,17,Coordinate (UTM WGS84)
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,30,11,"Provincia Oristano Foglio 529, Sezione III - Villaurbana Foglio 217, Sezione IV - Oristano"
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,30,16,Coordinate (UTM WGS84)
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,32,10,"Provincia Oristano Foglio 529, Sezione III - Villaurbana Foglio 217, Sezione IV - Oristano"
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,32,15,Coordinate (UTM WGS84)
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,34,10,"Provincia Oristano Foglio 529, Sezione III - Villaurbana Foglio 217, Sezione I - Villaurbana"
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,34,17,Coordinate (UTM WGS84)
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,37,10,"Provincia Oristano Foglio 528, Sezione II – Oristano Sud Foglio 217, Sezione IV - Oristano"
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,37,17,Coordinate (UTM WGS84)
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,39,10,"Provincia Oristano Foglio 528, Sezione II – Oristano Sud Foglio 217, Sezione IV - Oristano"
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,39,15,Coordinate (UTM WGS84)
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,41,10,"Provincia Oristano Foglio 528, Sezione II - Oristano Sud Foglio 217, Sezione IV - Oristano"
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,41,17,Coordinate (UTM WGS84)
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,43,10,"Provincia Oristano Foglio 528, Sezione II - Oristano Sud Foglio 217, Sezione IV - Oristano"
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,43,17,Coordinate (UTM WGS84)
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,45,10,"Provincia Oristano Foglio 528, Sezione II - Oristano Sud Foglio 217, Sezione IV - Oristano"
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,45,15,Coordinate (UTM WGS84)
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,48,10,"Provincia Oristano Foglio 528, Sezione II – Oristano Sud Foglio 217, Sezione IV - Oristano"
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,48,15,Coordinate (UTM WGS84)
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,50,10,"Provincia Oristano Foglio 528, Sezione II – Oristano Sud Foglio 217, Sezione IV - Oristano"
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,50,15,Coordinate (UTM WGS84)
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,52,10,"Provincia Oristano Foglio 528, Sezione II – Oristano Sud Foglio 217, Sezione IV - Oristano"
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,52,17,Coordinate (UTM WGS84)
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,54,10,"Provincia Oristano Foglio 528, Sezione II – Oristano Sud Foglio 217, Sezione IV - Oristano"
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,54,17,Coordinate (UTM WGS84)
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,56,10,"Provincia Oristano Foglio 528, Sezione II – Oristano Sud Foglio 217, Sezione IV - Oristano"
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,56,15,Coordinate (UTM WGS84)
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,58,10,"Provincia Oristano Foglio 528, Sezione II – Oristano Sud Foglio 217, Sezione IV - Oristano"
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,58,15,Coordinate (UTM WGS84)
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,60,10,"Provincia Oristano Foglio 528, Sezione II – Oristano Sud Foglio 217, Sezione IV - Oristano"
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,60,15,Coordinate (UTM WGS84)
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,62,10,"Provincia Oristano Foglio 529, Sezione III – Villaurbana Foglio 217, Sezione IV - Oristano"
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,62,17,Coordinate (UTM WGS84)
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,64,10,"Provincia Oristano Foglio 529, Sezione III – Villaurbana Foglio 217, Sezione IV - Oristano"
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,64,17,Coordinate (UTM WGS84)
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,66,11,"Provincia Oristano Foglio 529, Sezione III – Villaurbana Foglio 217, Sezione IV - Oristano"
downloads/Serramanna\Progetti\1694\MI-SAF-E-001_signed.pdf,66,16,Coordinate (UTM WGS84)
downloads/Serramanna\Progetti\1694\Nota_ArpaS.pdf,13,13,sistemi di coordinate utilizzati (attualmente un progetto utilizza Gauss-Boaga e l'altro WGS84) nel
downloads/Serramanna\Progetti\1694\Nota_ArpaS.pdf,13,14,sistema di riferimento UTM WGS84 .
downloads/Serramanna\Progetti\1694\Parere_RAS_n_17140_del_07_08_2019.pdf,7,12,Proponente ha rielaborato la cartografia prodotta (le aree boscate sono mappale all'interno delle carte
downloads/Serramanna\Progetti\1694\Parere_RAS_n_17140_del_07_08_2019.pdf,11,13,progetto (si veda la Tavola PG-AF-301 al Foglio 2).
downloads/Serramanna\Progetti\1694\PG-PMA-101_r3.pdf,3,1,Progetto: METANIZZAZIONE SARDEGNA - TRATTO SUD 03 11/06/2020 EMISSIONE PER RECEMPIMENTO PRESCRIZIONI T.FILANDRO R.BOZZINI R O. .B COO RZ DZ AINI Foglio
downloads/Serramanna\Progetti\1694\PG-PMA-101_r3.pdf,5,1,Progetto: METANIZZAZIONE SARDEGNA - TRATTO SUD 03 11/06/2020 EMISSIONE PER RECEMPIMENTO PRESCRIZIONI T.FILANDRO R.BOZZINI R O. .B COO RZ DZ AINI Foglio
downloads/Serramanna\Progetti\1694\PG-PMA-101_r3.pdf,6,1,Progetto: METANIZZAZIONE SARDEGNA - TRATTO SUD 03 11/06/2020 EMISSIONE PER RECEMPIMENTO PRESCRIZIONI T.FILANDRO R.BOZZINI R O. .B COO RZ DZ AINI Foglio
downloads/Serramanna\Progetti\1694\PG-PMA-101_r3.pdf,7,25,Progetto: METANIZZAZIONE SARDEGNA - TRATTO SUD 03 11/06/2020 EMISSIONE PER RECEMPIMENTO PRESCRIZIONI Foglio
downloads/Serramanna\Progetti\1694\PG-PMA-101_r3.pdf,8,1,Progetto: METANIZZAZIONE SARDEGNA - TRATTO SUD 03 11/06/2020 EMISSIONE PER RECEMPIMENTO PRESCRIZIONI T.FILANDRO R.BOZZINI R O. .B COO RZ DZ AINI Foglio
downloads/Serramanna\Progetti\1694\PG-PMA-101_r3.pdf,9,1,Progetto: METANIZZAZIONE SARDEGNA - TRATTO SUD 03 11/06/2020 EMISSIONE PER RECEMPIMENTO PRESCRIZIONI T.FILANDRO R.BOZZINI R O. .B COO RZ DZ AINI Foglio
downloads/Serramanna\Progetti\1694\PG-PMA-101_r3.pdf,10,1,Progetto: METANIZZAZIONE SARDEGNA - TRATTO SUD 03 11/06/2020 EMISSIONE PER RECEMPIMENTO PRESCRIZIONI T.FILANDRO R.BOZZINI R O. .B COO RZ DZ AINI Foglio
downloads/Serramanna\Progetti\1694\PG-PMA-101_r3.pdf,11,1,Progetto: METANIZZAZIONE SARDEGNA - TRATTO SUD 03 11/06/2020 EMISSIONE PER RECEMPIMENTO PRESCRIZIONI T.FILANDRO R.BOZZINI R O. .B COO RZ DZ AINI Foglio
downloads/Serramanna\Progetti\1694\PG-PMA-101_r3.pdf,12,22,Progetto: METANIZZAZIONE SARDEGNA - TRATTO SUD 03 11/06/2020 EMISSIONE PER RECEMPIMENTO PRESCRIZIONI Foglio
downloads/Serramanna\Progetti\1694\PG-PMA-101_r3.pdf,13,18,Progetto: METANIZZAZIONE SARDEGNA - TRATTO SUD 03 11/06/2020 EMISSIONE PER RECEMPIMENTO PRESCRIZIONI Foglio
downloads/Serramanna\Progetti\1694\PG-PMA-101_r3.pdf,14,1,Progetto: METANIZZAZIONE SARDEGNA - TRATTO SUD 03 11/06/2020 EMISSIONE PER RECEMPIMENTO PRESCRIZIONI T.FILANDRO R.BOZZINI R O. .B COO RZ DZ AINI Foglio
downloads/Serramanna\Progetti\1694\PG-PMA-101_r3.pdf,15,1,Progetto: METANIZZAZIONE SARDEGNA - TRATTO SUD 03 11/06/2020 EMISSIONE PER RECEMPIMENTO PRESCRIZIONI T.FILANDRO R.BOZZINI R O. .B COO RZ DZ AINI Foglio
downloads/Serramanna\Progetti\1694\PG-PMA-101_r3.pdf,16,1,Progetto: METANIZZAZIONE SARDEGNA - TRATTO SUD 03 11/06/2020 EMISSIONE PER RECEMPIMENTO PRESCRIZIONI T.FILANDRO R.BOZZINI R O. .B COO RZ DZ AINI Foglio
downloads/Serramanna\Progetti\1694\PG-PMA-101_r3.pdf,17,1,Progetto: METANIZZAZIONE SARDEGNA - TRATTO SUD 03 11/06/2020 EMISSIONE PER RECEMPIMENTO PRESCRIZIONI T.FILANDRO R.BOZZINI R O. .B COO RZ DZ AINI Foglio
downloads/Serramanna\Progetti\1694\PG-PMA-101_r3.pdf,18,1,Progetto: METANIZZAZIONE SARDEGNA - TRATTO SUD 03 11/06/2020 EMISSIONE PER RECEMPIMENTO PRESCRIZIONI T.FILANDRO R.BOZZINI R O. .B COO RZ DZ AINI Foglio
downloads/Serramanna\Progetti\1694\PG-PMA-101_r3.pdf,19,1,Progetto: METANIZZAZIONE SARDEGNA - TRATTO SUD 03 11/06/2020 EMISSIONE PER RECEMPIMENTO PRESCRIZIONI T.FILANDRO R.BOZZINI R O. .B COO RZ DZ AINI Foglio
downloads/Serramanna\Progetti\1694\PG-PMA-101_r3.pdf,20,21,Progetto: METANIZZAZIONE SARDEGNA - TRATTO SUD 03 11/06/2020 EMISSIONE PER RECEMPIMENTO PRESCRIZIONI Foglio
downloads/Serramanna\Progetti\1694\PG-PMA-101_r3.pdf,21,1,Progetto: METANIZZAZIONE SARDEGNA - TRATTO SUD 03 11/06/2020 EMISSIONE PER RECEMPIMENTO PRESCRIZIONI T.FILANDRO R.BOZZINI R O. .B COO RZ DZ AINI Foglio
downloads/Serramanna\Progetti\1694\PG-PMA-101_r3.pdf,22,1,Progetto: METANIZZAZIONE SARDEGNA - TRATTO SUD 03 11/06/2020 EMISSIONE PER RECEMPIMENTO PRESCRIZIONI T.FILANDRO R.BOZZINI R O. .B COO RZ DZ AINI Foglio
downloads/Serramanna\Progetti\1694\PG-PMA-101_r3.pdf,23,1,Progetto: METANIZZAZIONE SARDEGNA - TRATTO SUD 03 11/06/2020 EMISSIONE PER RECEMPIMENTO PRESCRIZIONI T.FILANDRO R.BOZZINI R O. .B COO RZ DZ AINI Foglio
downloads/Serramanna\Progetti\1694\PG-PMA-101_r3.pdf,24,1,Progetto: METANIZZAZIONE SARDEGNA - TRATTO SUD 03 11/06/2020 EMISSIONE PER RECEMPIMENTO PRESCRIZIONI T.FILANDRO R.BOZZINI R O. .B COO RZ DZ AINI Foglio
downloads/Serramanna\Progetti\1694\PG-PMA-101_r3.pdf,25,1,Progetto: METANIZZAZIONE SARDEGNA - TRATTO SUD 03 11/06/2020 EMISSIONE PER RECEMPIMENTO PRESCRIZIONI T.FILANDRO R.BOZZINI R O. .B COO RZ DZ AINI Foglio
downloads/Serramanna\Progetti\1694\PG-PMA-101_r3.pdf,27,1,Foglio
downloads/Serramanna\Progetti\1694\PG-PMA-301_r3.pdf,2,1,Progetto: METANIZZAZIONE SARDEGNA - TRATTO SUD 03 1106/2020 EMISSIONE PER RECEMPIMENTO PRESCRIZIONI T.FILANDRO R. BOZZINI R O.B .CO OZ RZ DI ANI Foglio
downloads/Serramanna\Progetti\1694\PG-PMA-301_r3.pdf,3,1,Progetto: METANIZZAZIONE SARDEGNA - TRATTO SUD 03 1106/2020 EMISSIONE PER RECEMPIMENTO PRESCRIZIONI T.FILANDRO R. BOZZINI R O.B .CO OZ RZ DI ANI Foglio
downloads/Serramanna\Progetti\1694\PG-PMA-301_r3.pdf,4,1,Progetto: METANIZZAZIONE SARDEGNA - TRATTO SUD 03 1106/2020 EMISSIONE PER RECEMPIMENTO PRESCRIZIONI T.FILANDRO R. BOZZINI R O.B .CO OZ RZ DI ANI Foglio
downloads/Serramanna\Progetti\1694\PG-PMA-301_r3.pdf,5,1,Progetto: METANIZZAZIONE SARDEGNA - TRATTO SUD 03 1106/2020 EMISSIONE PER RECEMPIMENTO PRESCRIZIONI T.FILANDRO R. BOZZINI R O.B .CO OZ RZ DI ANI Foglio
downloads/Serramanna\Progetti\1694\PG-PMA-301_r3.pdf,6,21,METANIZZAZIONE SARDEGNA - TRATTO SUD 03 11/06/2020 EMISSIONE PER RECEMPIMENTO PRESCRIZIONI T.FILANDRO R. BOZZINI R O.B .CO OZ RZ DI ANI Foglio
downloads/Serramanna\Progetti\1694\RE-CI-00002_signed.pdf,18,11,"Figura 2-4 - Schema Idrogeologico del Foglio 528 Oristano, il cerchio di colore rosso identifica"
downloads/Serramanna\Progetti\1694\RE-CI-00002_signed.pdf,21,23,"argilla. Per ogni campione è stato inoltre definito il parametro D = diametro efficace,"
downloads/Serramanna\Progetti\1694\RE-CI-00002_signed.pdf,21,25,D = diametro mediano e D = diametro di riferimento.
downloads/Serramanna\Progetti\1694\RE-CI-00002_signed.pdf,21,57,diametro delle particelle corrispondenti al 60% e al 10% del passante sulla curva
downloads/Serramanna\Progetti\1694\RE-CI-00002_signed.pdf,32,32,"escavatrici ed avrà, in funzione al diametro della condotta in progetto (DN 150) una"
downloads/Serramanna\Progetti\1694\RE-CI-00002_signed.pdf,36,21,"filetti idrici, a seconda del diametro delle"
downloads/Serramanna\Progetti\1694\RE-CI-00002_signed.pdf,36,26,"variabile, in funzione del diametro del"
downloads/Serramanna\Progetti\1694\RE-CI-00002_signed.pdf,37,29,diametro collegati mediante un collettore di aspirazione e raccordi ad un gruppo di
downloads/Serramanna\Progetti\1694\RE-CI-00002_signed.pdf,41,29,− Note illustrative della Carta Geologica d’Italia alla scala 1:50.000: Foglio 547
downloads/Serramanna\Progetti\1694\RE-CI-00003_signed.pdf,19,12,"Figura 2-4: Schema Idrogeologico del Foglio 528 Oristano, l’ellisse di colore rosso identifica"
downloads/Serramanna\Progetti\1694\RE-CI-00003_signed.pdf,22,22,"argilla. Per ogni campione è stato inoltre definito il parametro D = diametro efficace,"
downloads/Serramanna\Progetti\1694\RE-CI-00003_signed.pdf,22,24,D = diametro mediano e D = diametro di riferimento.
downloads/Serramanna\Progetti\1694\RE-CI-00003_signed.pdf,23,11,diametro delle particelle corrispondenti al 60% e al 10% del passante sulla curva
downloads/Serramanna\Progetti\1694\RE-CI-00003_signed.pdf,37,21,"filetti idrici, a seconda del diametro delle"
downloads/Serramanna\Progetti\1694\RE-CI-00003_signed.pdf,37,26,"variabile, in funzione del diametro del"
downloads/Serramanna\Progetti\1694\RE-CI-00003_signed.pdf,38,29,diametro collegati mediante un collettore di aspirazione e raccordi ad un gruppo di
downloads/Serramanna\Progetti\1694\RE-CI-00003_signed.pdf,42,29,− Note illustrative della Carta Geologica d’Italia alla scala 1:50.000: Foglio 547
downloads/Serramanna\Progetti\1694\RE-CI-00004_signed.pdf,20,22,"argilla. Per ogni campione è stato inoltre definito il parametro D = diametro efficace,"
downloads/Serramanna\Progetti\1694\RE-CI-00004_signed.pdf,20,24,D = diametro mediano e D = diametro di riferimento.
downloads/Serramanna\Progetti\1694\RE-CI-00004_signed.pdf,20,57,"dal rapporto D / D , dove D e D sono rispettivamente il diametro delle particelle"
downloads/Serramanna\Progetti\1694\RE-CI-00004_signed.pdf,30,50,"escavatrici ed avrà, in funzione al diametro della condotta in progetto (DN 650) una"
downloads/Serramanna\Progetti\1694\RE-CI-00004_signed.pdf,32,17,"idrici, a seconda del diametro delle condotte"
downloads/Serramanna\Progetti\1694\RE-CI-00004_signed.pdf,32,22,funzione del diametro del metanodotto
downloads/Serramanna\Progetti\1694\RE-CI-00004_signed.pdf,33,29,diametro collegati mediante un collettore di aspirazione e raccordi ad un gruppo di
downloads/Serramanna\Progetti\1694\RE-CI-00004_signed.pdf,37,29,− Note illustrative della Carta Geologica d’Italia alla scala 1:50.000: Foglio 547
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,10,18,Il lavoro procede con la condotta posata senza scollegamenti e le singole fasi sono coordinate in
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,18,12,Cod. Corso d'acqua Coordinate Est Coordinate Nord comune
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,18,13,"AS-CP-01 Stagno di Cagliari 9° 2'37.36"" 39°13'19.95"" Cagliari"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,18,14,"AS-CP-02 Stagno di Cagliari 9° 1'40.96"" 39°13'35.10"" Cagliari"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,18,15,"AS-CP-03v Riu Spinosu 8°52'3.27"" 39°19'53.36"" Decimopotzu"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,18,17,"AS-CP-05v Riu Arianna 8°44'49.57"" 39°36'35.50"" Sardara"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,18,18,"AS-CP-05a Riu Corongiu 8°41'0.26"" 39°49'23.33"" Santa Giusta"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,18,20,Cod. Corso d'acqua Coordinate Est Coordinate Nord comune
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,18,21,"AS-VS-01 Riu Linus 8° 48'37.22"" 39°21'16.37"" Vallermosa"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,18,22,"AS-VS-02v Riu Predi 8° 42'29.82"" 39°19'1.11"" Musei"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,18,23,"AS-VS-02a Riu Figu 8°40'48.18"" 39°18'34.55"" Musei"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,18,26,Cod. Corso d'acqua Coordinate Est Coordinate Nord comune
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,18,27,"AS-TO-01v Riu Tumboi 8°41'44.03” 39°52'32.28"" Oristano"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,18,28,"AS-TO-01X risaia 8°38'13.03"" 39°51'21.43” Oristano"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,18,30,Cod. Corso d'acqua Coordinate Est Coordinate Nord comune
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,18,31,"AS-CS-01v Riu Di Santa Lucia 8°57'45.96"" 39°11'47.85"" Uta"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,18,34,Cod. Corso d'acqua Coordinate Est Coordinate Nord comune
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,18,35,"AS-SE-01 Gora Pixina Manna 8°53'42.43"" 39°26'16.03"" Serramanna"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,18,37,Cod. Corso d'acqua Coordinate Est Coordinate Nord comune
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,18,38,"AS-VI-01 Gora Sa Carroccia 8°47'26.76"" 39°29'28.26"" Villacidro"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,18,40,Cod. Corso d'acqua Coordinate Est Coordinate Nord comune
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,18,41,"AS-SA-01 Riu Acqua Sassa 8°51'43.44"" 39°32'48.65"" Sanluri"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,18,45,Le coordinate dei punti di monitoraggio indicate si riferiscono al punto di attraversamento della
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,25,30,"S101 (ex AF-CP-01) piezometro potenziale interf. scavi 9°5'11.04"" 39°12'52.92"" Cagliari"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,25,31,"S102* piezometro attraver. corpo idrico 9°3'37.476"" 39°13'23.016"" Cagliari"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,25,32,"S103 (ex AF-CP-02) piezometro attraver. corpo idrico 9°3'33.3"" 39°13'22.44"" Cagliari"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,25,33,"S104* piezometro potenziale interf. scavi 9°3'24.12"" 39°13'17.04"" Cagliari"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,25,34,"S105* piezometro attraver. corpo idrico 9°3'7.344"" 39°13'11.712"" Cagliari"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,25,35,"S1* piezometro attraver. corpo idrico 9°2'53.664"" 39°13'14.304"" Cagliari"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,25,36,"S2* piezometro potenziale interf. scavi 9°2'38.688"" 39°13'18.12"" Cagliari"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,25,37,"S4* piezometro potenziale interf. scavi 9°2'13.2"" 39°13'25.32"" Cagliari"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,25,38,"SA101_S_01(S5)* piezometro potenziale interf. scavi 9°1'58.044"" 39°13'29.676"" Assemini"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,25,39,"S6 (ex AF-CP-05) piezometro potenziale interf. scavi 9°1'48.648"" 39°13'32.196"" Assemini"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,25,40,"SA101_S_06(S108)* piezometro potenziale interf. scavi 9°1'11.302"" 39°13'43.981"" Assemini"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,25,41,"S110BIS* piezometro attraver. corpo idrico 8°57'23.976"" 39°15'40.068"" Assemini"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,25,42,"S115 (ex AF-CP-07) piezometro attraver. corpo idrico 8°55'2.102"" 39°16'47.182"" Uta"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,25,43,"S119* piezometro potenziale interf. scavi 8°53'49.668"" 39°17'59.964"" Villaspeciosa"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,25,44,"S127 (ex AF-CP-08) piezometro attraver. corpo idrico 8°50'53.16"" 39°21'14.868"" Vallermosa"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,25,45,"S129* piezometro potenziale interf. scavi 8°50'43.188"" 39°21'22.284"" Vallermosa"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,26,10,"SA101_86* piezometro potenziale interf. scavi 8°50'18.686"" 39°22'20.215"" Villasor"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,26,11,"S146 (ex AF-CP-09) piezometro attraver. corpo idrico 8°47'23.16"" 39°29'57.54"" Villacidro"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,26,16,"FID_44* piezometro attraver. corpo idrico 8°44'51.972"" 39°35'9.614"""
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,26,19,"S161* piezometro attraver. corpo idrico 8°43'53.7"" 39°39'34.62"" Mogoro"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,26,22,"S139* piezometro potenziale interf. scavi 8°49'34.68"" 39°26'34.10"" Villacidro"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,26,23,"S144* piezometro potenziale interf. scavi 8°47'35.37 39°29'39.33"" Villacidro"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,26,26,"PO-201-01 (ex AF-VS-01) pozzo potenziale interf. scavi 8°48'38.645"" 39°21'20.265"" Vallermosa"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,26,27,"FID14** piezometro attraver. corpo idrico 8°30'44.522"" 39°13'26.78"" Carbonia"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,26,28,"FID48** piezometro attraver. corpo idrico 8°30'22.869"" 39°13'11.677"" Carbonia"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,26,29,"FID47** piezometro attraver. corpo idrico 8°28'12.88"" 39°11'47.359"" Carbonia"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,26,30,"S225* piezometro potenziale interf. scavi 8°36'41.238"" 39°17'24.749"" Villamassargia"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,26,31,"PO-201-22* pozzo potenziale interf. scavi 8°35'29.36"" 39°16'20.45""N Iglesias"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,26,32,"S226* piezometro potenziale interf. scavi 8°35'58.84 39°16'39.96"" Villamassargia"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,26,35,"S302 (ex AF-TO-01) piezometro attraver. corpo idrico 8°34'38.64"" 39°50'42.3"" Santa Giusta"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,26,37,"PO-301-02 (ex AF-TO-02)(1) pozzo potenziale interf. scavi 8°39'56.877"" 39°51'59.762"""
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,26,40,"S309* piezometro potenziale interf. scavi 8°39'45.715"" 39°52'1.715"" Santa Giusta"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,26,41,"SA301-20* piezometro potenziale interf. scavi 8°35'18.042"" 39°50'30.966"" Santa Giusta"
downloads/Serramanna\Progetti\1694\RE-PMA-001_r3sett20.pdf,26,42,"SA301-21* piezometro potenziale interf. scavi 8°35'39.228"" 39°50'32.604"" Santa Giusta"
